img_path = /Users/zhoudong/projects/maoyan/movie-data-automation/performance/pdf/Complexcon 2025 E-ticket.pdf---image_page1_3.png, qrcode = TA25CCTEST3CLwdmZmcn3BMfZVmJiTwo3kE+mg6hrpS4Krkecc1arFA2NGnGFXlbqBpgGtx1eaT7qgSzHE0u9jpKmUivIXei4b+i6j/b+I/wh9JnvSW7y/+w48K8WSRD4a98gMQ9/5Fo9 , seat_info = A 25
img_path = /Users/zhoudong/projects/maoyan/movie-data-automation/performance/pdf/ComplexCon 2025 Mar 23/maoyan/Mar 23 Sun T1S T1站位 1788/maoyan_178張/Block C/20250227164433882038.pdf---image_page1_3.png, qrcode = TA25CCHK01CL2sSKksn3BMfZVWJtTwwwlzucmCgOnxr/ZsriZl8toIOLphT8ZpSfwBXE+PnKdlrFLX3cZ79Owm1ku3iL1lbpc35R1sB8FtgFjs5z0Us4zwVUd9gIf2aezF09AmJaCfVy , seat_info = 未解析出座位
img_path = /Users/zhoudong/projects/maoyan/movie-data-automation/performance/pdf/ComplexCon 2025 Mar 23/maoyan/Mar 23 Sun T1S T1站位 1788/maoyan_178張/Block C/20250227164433882170.pdf---image_page1_3.png, qrcode = TA25CCHK01CL2sSKksn3BMfZVWJtTwwwlzucmCgOnh73PZu1YVZ48N6RymVnOeLXtWQAlDa5Uj1ZGlh3QsQP8tUVKQvGqvowZ4wfOmMGk06Gp6USZZdw+k9CI9PEA9MFoFROaWkJSW7R , seat_info = 未解析出座位
img_path = /Users/zhoudong/projects/maoyan/movie-data-automation/performance/pdf/ComplexCon 2025 Mar 23/maoyan/Mar 23 Sun T1S T1站位 1788/maoyan_178張/Block C/20250227164433882164.pdf---image_page1_3.png, qrcode = TA25CCHK01CL2sSKksn3BMfZVWJtTwwwlzucmCgOnh/zPMvkMl4u9NAXkshjbRaLdnA9LeJHr1KwaaWo+C1rAktFFUNDinwd+sWpZdBqEWqd4qSEYNs1R5ohNHc81yyFnU3scewgypHk , seat_info = 未解析出座位
img_path = /Users/zhoudong/projects/maoyan/movie-data-automation/performance/pdf/ComplexCon 2025 Mar 23/maoyan/Mar 23 Sun T1S T1站位 1788/maoyan_178張/Block C/20250227164433882158.pdf---image_page1_3.png, qrcode = TA25CCHK01CL2sSKksn3BMfZVWJtTwwwlzucmCgOnhz/aM+1NlYoo9V/EBQwdi4AGHM+rMtbRzoMVOnR3aTPt3AxWcfWME8OJViPvR/3fxKw6aQ1SBtkK/i2hVHjuZ7cNpMF23v2F+EH , seat_info = 未解析出座位
img_path = /Users/zhoudong/projects/maoyan/movie-data-automation/performance/pdf/ComplexCon 2025 Mar 23/maoyan/Mar 23 Sun T1S T1站位 1788/maoyan_178張/Block C/20250227164433882172.pdf---image_page1_3.png, qrcode = TA25CCHK01CL2sSKksn3BMfZVWJtTwwwlzucmCgOnh71Z5bnPVV48dBSkcTqGrvNWOHF6edLFxoly4czS4+C4jPriPTTUx4M7g/qufBJUO5vRL4Cx2bT9nn/moAJJY6taEQe1Z/HBcwD , seat_info = 未解析出座位
img_path = /Users/zhoudong/projects/maoyan/movie-data-automation/performance/pdf/ComplexCon 2025 Mar 23/maoyan/Mar 23 Sun T1S T1站位 1788/maoyan_178張/Block C/20250227164433882006.pdf---image_page1_3.png, qrcode = TA25CCHK01CL2sSKksn3BMfZVWJtTwwwlzucmCgOnxnxO5y3Y1569YPtdsYLgZGmo+HIDo8Gwrp71Q8xN5jY8NPwXxwkJmo6t/boKCcf6NASKSIroTuci7OgLI/zfg9pt/kmpbSP/tE7 , seat_info = 未解析出座位
img_path = /Users/zhoudong/projects/maoyan/movie-data-automation/performance/pdf/ComplexCon 2025 Mar 23/maoyan/Mar 23 Sun T1S T1站位 1788/maoyan_178張/Block C/20250227164433882012.pdf---image_page1_3.png, qrcode = TA25CCHK01CL2sSKksn3BMfZVWJtTwwwlzucmCgOnxj1a5biNVMt8dMdx9G9lbRH4R4lwAiqV6XzdnzsTliRO9TIU/1AEzvXoXOuJ9gwiBus636geSDl7SbA8M11v7s9pbr80c+pNxuf , seat_info = 未解析出座位
img_path = /Users/zhoudong/projects/maoyan/movie-data-automation/performance/pdf/ComplexCon 2025 Mar 23/maoyan/Mar 23 Sun T1S T1站位 1788/maoyan_178張/Block C/20250227164433882013.pdf---image_page1_3.png, qrcode = TA25CCHK01CL2sSKksn3BMfZVWJtTwwwlzucmCgOnxj0bJ3gYwYpodR0M8EnuKO7SuWoMwYdLkzYVS/GGvlJypUBk0idFYReRnZCfSLornzkl0mWMWc8qTpwO3JyjkOcaWj1p35au9Wt , seat_info = 未解析出座位
img_path = /Users/zhoudong/projects/maoyan/movie-data-automation/performance/pdf/ComplexCon 2025 Mar 23/maoyan/Mar 23 Sun T1S T1站位 1788/maoyan_178張/Block C/20250227164433882007.pdf---image_page1_3.png, qrcode = TA25CCHK01CL2sSKksn3BMfZVWJtTwwwlzucmCgOnxnwbJ+0YVB59tOBPQApSPV3J6C8q2r8LCEb2h5mVtE58OMXnnv/XpMhDpJ51VfZM/CtgHuKJszpweZ3dMWtZ6OYTEmKabS86Qd3 , seat_info = 未解析出座位
img_path = /Users/zhoudong/projects/maoyan/movie-data-automation/performance/pdf/ComplexCon 2025 Mar 23/maoyan/Mar 23 Sun T1S T1站位 1788/maoyan_178張/Block C/20250227164433882167.pdf---image_page1_3.png, qrcode = TA25CCHK01CL2sSKksn3BMfZVWJtTwwwlzucmCgOnh/wb8q3MFAq9dFtUCI/OjxyjFDGIJeCbgf7pza6bHBqnR5fMtcJArNsDAqc9cJaOOacCdsjnqmywuKnP7tB6maLGsFtsa89w7Uy , seat_info = 未解析出座位
img_path = /Users/zhoudong/projects/maoyan/movie-data-automation/performance/pdf/ComplexCon 2025 Mar 23/maoyan/Mar 23 Sun T1S T1站位 1788/maoyan_178張/Block C/20250227164433882173.pdf---image_page1_3.png, qrcode = TA25CCHK01CL2sSKksn3BMfZVWJtTwwwlzucmCgOnh70PZ7kYwZ59dbOOu/krulWEs0udFU3NBkpQ7u8L6eKXmoSoAlOfSvx7TyIfjoGInoxpeCI5fJJMCmUTOyINuGusurEtugDkyux , seat_info = 未解析出座位
img_path = /Users/zhoudong/projects/maoyan/movie-data-automation/performance/pdf/ComplexCon 2025 Mar 23/maoyan/Mar 23 Sun T3M 坐位 988/maoyan_584張/Block 11/20250227180153093255.pdf---image_page1_3.png, qrcode = TA25CCHK01CL2sSKksn3BMfZVWJtTwI0kvvtfFg1U8XxaZBmGpX9OLE0/V/DLdWRU8E7EibL0PT3fmHdyNyjAuk9SmvTS08Irodh7DySjHHxYmh2bqH3ZKfy1/hYb6yaJVuAzDLCGM37 , seat_info = 未解析出座位
img_path = /Users/zhoudong/projects/maoyan/movie-data-automation/performance/pdf/ComplexCon 2025 Mar 23/maoyan/Mar 23 Sun T3M 坐位 988/maoyan_584張/Block 11/20250227180153093241.pdf---image_page1_3.png, qrcode = TA25CCHK01CL2sSKksn3BMfZVWJtTwI0kvvtfFg1U8T1O8I2Hs/8NOoNuIJb6/ZhYkgmLEixw5EF/7yzlt6YrqrO44ht+A+1cv4XDrt+BB9YrsHUYgaAnj+9q4NkeNRC/Bzx/HaFVC9m , seat_info = 未解析出座位
img_path = /Users/zhoudong/projects/maoyan/movie-data-automation/performance/pdf/ComplexCon 2025 Mar 23/maoyan/Mar 23 Sun T3M 坐位 988/maoyan_584張/Block 11/20250227180153093269.pdf---image_page1_3.png, qrcode = TA25CCHK01CL2sSKksn3BMfZVWJtTwI0kvvtfFg1U8b9PpZuS5r5Nby7P7jW3ESn+NbyLwIqvKpPJRZ3tJVjD/YbolBsFYKYxRSkx1wNTvNpKnVljSLO9C1z0e2DU6pp2i9YDexHUtyW , seat_info = 未解析出座位
img_path = /Users/zhoudong/projects/maoyan/movie-data-automation/performance/pdf/ComplexCon 2025 Mar 23/maoyan/Mar 23 Sun T3M 坐位 988/maoyan_584張/Block 11/20250227180153093268.pdf---image_page1_3.png, qrcode = TA25CCHK01CL2sSKksn3BMfZVWJtTwI0kvvtfFg1U8b8PpZlGZuvaOlh+vOjTyOLYlTF1epqNwRxe511J3L59VYOJoTX1PhWtljQG67joywQw3cT4DsReM0AMrkvF1kRkEqtaFtcdjBp , seat_info = 未解析出座位
img_path = /Users/zhoudong/projects/maoyan/movie-data-automation/performance/pdf/ComplexCon 2025 Mar 23/maoyan/Mar 23 Sun T3M 坐位 988/maoyan_584張/Block 11/20250227180153093240.pdf---image_page1_3.png, qrcode = TA25CCHK01CL2sSKksn3BMfZVWJtTwI0kvvtfFg1U8T0M8AxTM+oNeqz7BCTLdf5dwJbSQy/JLJQDO9u1UfsDILmHJnR6VbUSGmFeoBsIvh/qdc2uQ/0mqXfAUQgSaxNjomGHtdA5uQl , seat_info = 未解析出座位
img_path = /Users/zhoudong/projects/maoyan/movie-data-automation/performance/pdf/ComplexCon 2025 Mar 23/maoyan/Mar 23 Sun T3M 坐位 988/maoyan_584張/Block 11/20250227180153093254.pdf---image_page1_3.png, qrcode = TA25CCHK01CL2sSKksn3BMfZVWJtTwI0kvvtfFg1U8XwPcZvT5X1P75WeByYFUzqzVeMr8ghWiTWfW9nz5xESzY4nSPvBnlzbahz6nLIBQ+JgWVvFmuIifvkujWerUkbz1xodYASmf5k , seat_info = 未解析出座位
img_path = /Users/zhoudong/projects/maoyan/movie-data-automation/performance/pdf/ComplexCon 2025 Mar 23/maoyan/Mar 23 Sun T3M 坐位 988/maoyan_584張/Block 11/20250227180153093242.pdf---image_page1_3.png, qrcode = TA25CCHK01CL2sSKksn3BMfZVWJtTwI0kvvtfFg1U8T2PJJlHpz0Ory4483AqfsmW5BVlDMn8PivaqgzyuZ3zuRDJZeKfLj6XcOAgw18swAiJLq8+OIR9QgDSy46Z4eyJ0Z6GSeGwQ9L , seat_info = 未解析出座位
img_path = /Users/zhoudong/projects/maoyan/movie-data-automation/performance/pdf/ComplexCon 2025 Mar 23/maoyan/Mar 23 Sun T3M 坐位 988/maoyan_584張/Block 11/20250227180153093256.pdf---image_page1_3.png, qrcode = TA25CCHK01CL2sSKksn3BMfZVWJtTwI0kvvtfFg1U8XyOJU2Tpr6aLm/Nb1Sh2mNDII4nR2ekMoWEglGlRWWkdaQlUlFb18QstxdyR+FLIYKZ3N+JQ7jVojqk8q9evvgPuwljzC+TII8 , seat_info = 未解析出座位
img_path = /Users/zhoudong/projects/maoyan/movie-data-automation/performance/pdf/ComplexCon 2025 Mar 23/maoyan/Mar 23 Sun T3M 坐位 988/maoyan_584張/Block 11/20250227180153093257.pdf---image_page1_3.png, qrcode = TA25CCHK01CL2sSKksn3BMfZVWJtTwI0kvvtfFg1U8XzbsFmHpv5P7GJmKDntXlKmloYF1cN76pAZufZXNagod9JKlRYARORvCxURssww5Xb8jCwDsLOiLker45dM6x0V9pEtcZWhjKS , seat_info = 未解析出座位
img_path = /Users/zhoudong/projects/maoyan/movie-data-automation/performance/pdf/ComplexCon 2025 Mar 23/maoyan/Mar 23 Sun T3M 坐位 988/maoyan_584張/Block 11/20250227180153093243.pdf---image_page1_3.png, qrcode = TA25CCHK01CL2sSKksn3BMfZVWJtTwI0kvvtfFg1U8T3O5MxGsiqO+xPRnIGTZS8qRwa+tvFNXrIRCETeyImlS0bCoVeUGK9JRtno8bBLaCb45rWRgkIF7q3BpSfpWRwatB7TUnXXYkP , seat_info = 未解析出座位
img_path = /Users/zhoudong/projects/maoyan/movie-data-automation/performance/pdf/ComplexCon 2025 Mar 23/maoyan/Mar 23 Sun T3M 坐位 988/maoyan_584張/Block 11/20250227180153093247.pdf---image_page1_3.png, qrcode = TA25CCHK01CL2sSKksn3BMfZVWJtTwI0kvvtfFg1U8TzP5wyT5WuOr+FSXuvOGubsKBaD/+yAO3GvRaHn5AYW3LE0XSPNONXVh3NRV9kynu/arc6O4I8iQWr/QfN3Blv/z8Qm2oNRFqr , seat_info = 未解析出座位
img_path = /Users/zhoudong/projects/maoyan/movie-data-automation/performance/pdf/ComplexCon 2025 Mar 23/maoyan/Mar 23 Sun T3M 坐位 988/maoyan_584張/Block 11/20250227180153093253.pdf---image_page1_3.png, qrcode = TA25CCHK01CL2sSKksn3BMfZVWJtTwI0kvvtfFg1U8X3OZxvHMz5Ob1Grrp6HP8IyBFYOBvWuuDzJtE9MPIWOMe2EK3E0xcFb2lFhhfLPiMNgASvwPp4Wp0jFQ6fpFnA1ZjOIC1+QRDh , seat_info = 未解析出座位
img_path = /Users/zhoudong/projects/maoyan/movie-data-automation/performance/pdf/ComplexCon 2025 Mar 23/maoyan/Mar 23 Sun T3M 坐位 988/maoyan_584張/Block 11/20250227180153093252.pdf---image_page1_3.png, qrcode = TA25CCHK01CL2sSKksn3BMfZVWJtTwI0kvvtfFg1U8X2Mp0xSJWpNL5mgKCosJ6rEbS3TD67/i9aR9aothNcyJlhHCfs5LgIK+MONvFczfBjvcYp3X+CTa+3/p0DR5IF2DsXQYOhWwIn , seat_info = 未解析出座位
img_path = /Users/zhoudong/projects/maoyan/movie-data-automation/performance/pdf/ComplexCon 2025 Mar 23/maoyan/Mar 23 Sun T3M 坐位 988/maoyan_584張/Block 11/20250227180153093246.pdf---image_page1_3.png, qrcode = TA25CCHK01CL2sSKksn3BMfZVWJtTwI0kvvtfFg1U8TyPMFiGcmqbbqijKpdadwSmtM7INFdhmL/HtNQq1/zbKL7C0XoSWkOadNpWWAuPjffyzZmzBe2TghADlcA/NUy2MBn2m4Pj+sh , seat_info = 未解析出座位
img_path = /Users/zhoudong/projects/maoyan/movie-data-automation/performance/pdf/ComplexCon 2025 Mar 23/maoyan/Mar 23 Sun T3M 坐位 988/maoyan_584張/Block 11/20250227180153093250.pdf---image_page1_3.png, qrcode = TA25CCHK01CL2sSKksn3BMfZVWJtTwI0kvvtfFg1U8X0aZdiTJSqO71ikv9dBi07lEkK5zggZH/VHkHOd/g7f2tE73KUeQs+k6JzfchLGbgjfSmiyIB6PGwGm1yYtlSRZq8oN4USRCzG , seat_info = 未解析出座位
img_path = /Users/zhoudong/projects/maoyan/movie-data-automation/performance/pdf/ComplexCon 2025 Mar 23/maoyan/Mar 23 Sun T3M 坐位 988/maoyan_584張/Block 11/20250227180153093244.pdf---image_page1_3.png, qrcode = TA25CCHK01CL2sSKksn3BMfZVWJtTwI0kvvtfFg1U8TwaJM1SMj4ObioCiwIzRyoXe/i0Knv4VFEKlJY9G7JTJMUngn8ZzAc1gt9V5+5y465wOYslL0eEYzVHy5I+47F0Qsb7n0qpUp+ , seat_info = 未解析出座位
img_path = /Users/zhoudong/projects/maoyan/movie-data-automation/performance/pdf/ComplexCon 2025 Mar 23/maoyan/Mar 23 Sun T3M 坐位 988/maoyan_584張/Block 11/20250227180153093245.pdf---image_page1_3.png, qrcode = TA25CCHK01CL2sSKksn3BMfZVWJtTwI0kvvtfFg1U8TxM5NuTcn1b7+Mv/s46F+AnMxKjcJiemUzq4ybIQwiropEVFOFDWfutMznDthtCqD4ibTlzMuCntWfDmzRBhkcNk0G1ueWyYzz , seat_info = 未解析出座位
img_path = /Users/zhoudong/projects/maoyan/movie-data-automation/performance/pdf/ComplexCon 2025 Mar 23/maoyan/Mar 23 Sun T3M 坐位 988/maoyan_584張/Block 11/20250227180153093251.pdf---image_page1_3.png, qrcode = TA25CCHK01CL2sSKksn3BMfZVWJtTwI0kvvtfFg1U8X1PpcxTpyqaLGZqnDQt7OA9UdnNgnezkG1MsThRh0UUrkFsclB57NeibP88OA8vKqhb4c5BfqBIB7bJrEdazRn+aYQEI3bNok8 , seat_info = 未解析出座位
img_path = /Users/zhoudong/projects/maoyan/movie-data-automation/performance/pdf/ComplexCon 2025 Mar 23/maoyan/Mar 23 Sun T3M 坐位 988/maoyan_584張/Block 11/20250227180153093183.pdf---image_page1_3.png, qrcode = TA25CCHK01CL2sSKksn3BMfZVWJtTwI0kvvtfFg1UMj3bsdkHsz6arlDStJ66PO9rMksq+mRfx11UF/Rb1j6a9kfqQvkPmzD+RHFldmVlH+o18h/Fc6ohjfM5zO2NKvRogkgusHfDj4+ , seat_info = 未解析出座位
img_path = /Users/zhoudong/projects/maoyan/movie-data-automation/performance/pdf/ComplexCon 2025 Mar 23/maoyan/Mar 23 Sun T3M 坐位 988/maoyan_584張/Block 11/20250227180153093197.pdf---image_page1_3.png, qrcode = TA25CCHK01CL2sSKksn3BMfZVWJtTwI0kvvtfFg1UMnzbpBvSsyvOelmvbAfU8WJxay4b3nmwu1k8YDIE2uMf4s0KQY+0XnfU+Oiwl+haF2t2wBAA+Z+kWYzLNRjapRMnUjkb21t5XOP , seat_info = 未解析出座位
img_path = /Users/zhoudong/projects/maoyan/movie-data-automation/performance/pdf/ComplexCon 2025 Mar 23/maoyan/Mar 23 Sun T3M 坐位 988/maoyan_584張/Block 11/20250227180153093236.pdf---image_page1_3.png, qrcode = TA25CCHK01CL2sSKksn3BMfZVWJtTwI0kvvtfFg1U8PyP8ZhTpT8P7rEOgsGonSsvH5M79wlwFJXT9vf8l+75IZaa395BVeBPJtfV0WP+M4rgpyhEc0BHVlf0rbr0SQDQzoESjV2YJ5M , seat_info = 未解析出座位
img_path = /Users/zhoudong/projects/maoyan/movie-data-automation/performance/pdf/ComplexCon 2025 Mar 23/maoyan/Mar 23 Sun T3M 坐位 988/maoyan_584張/Block 11/20250227180153093222.pdf---image_page1_3.png, qrcode = TA25CCHK01CL2sSKksn3BMfZVWJtTwI0kvvtfFg1U8L2aZY0Hcn9O7pvqR0y3P7gHkxEMy1ow51lX3LvMDy0ZJWlgV+hZTrdA1q24xD4guGZzomLLS2ORGUdIxGvY90pVr1SqR7yrj/h , seat_info = 未解析出座位
img_path = /Users/zhoudong/projects/maoyan/movie-data-automation/performance/pdf/ComplexCon 2025 Mar 23/maoyan/Mar 23 Sun T3M 坐位 988/maoyan_584張/Block 11/20250227180153093223.pdf---image_page1_3.png, qrcode = TA25CCHK01CL2sSKksn3BMfZVWJtTwI0kvvtfFg1U8L3PJAxSJ6tae4xzSBh6w4qLfT+ndbXrzAcHFTSMCSIWFVQ6A4xXNyHPVpQFLiTiubr0UOp/+MBpmGEsAOjhSCvoXwr8KycvnDi , seat_info = 未解析出座位
img_path = /Users/zhoudong/projects/maoyan/movie-data-automation/performance/pdf/ComplexCon 2025 Mar 23/maoyan/Mar 23 Sun T3M 坐位 988/maoyan_584張/Block 11/20250227180153093237.pdf---image_page1_3.png, qrcode = TA25CCHK01CL2sSKksn3BMfZVWJtTwI0kvvtfFg1U8PzPpZnHMv9OeuctF32ZyDXo+3uiqLFJGTu0NFooLqRnHz5bl3SO6h1/xFk/10MBoYg51pDjdg7V7bbITurx49nkdfpeJMJumrX , seat_info = 未解析出座位
img_path = /Users/zhoudong/projects/maoyan/movie-data-automation/performance/pdf/ComplexCon 2025 Mar 23/maoyan/Mar 23 Sun T3M 坐位 988/maoyan_584張/Block 11/20250227180153093169.pdf---image_page1_3.png, qrcode = TA25CCHK01CL2sSKksn3BMfZVWJtTwI0kvvtfFg1UMb9aZM0T5ytNbvNPXEyIuJ0h2+7wt/kwKLeH402XcmOtbr6J94OXrLp2RtDz71ZIhyv0+X+JXCBniDzb/1DSPeWMh86azMm8R3Q , seat_info = 未解析出座位
img_path = /Users/zhoudong/projects/maoyan/movie-data-automation/performance/pdf/ComplexCon 2025 Mar 23/maoyan/Mar 23 Sun T3M 坐位 988/maoyan_584張/Block 11/20250227180153093196.pdf---image_page1_3.png, qrcode = TA25CCHK01CL2sSKksn3BMfZVWJtTwI0kvvtfFg1UMnyPJBiHJX1PuupybD9apXlM6qpNmVjojUCjh3jVnLa0/WRH0RVYBG+TK0ihnB1/0jGBVgrv4TNmZ62zSe2Gkr1s11TPgLKW9SB , seat_info = 未解析出座位
img_path = /Users/zhoudong/projects/maoyan/movie-data-automation/performance/pdf/ComplexCon 2025 Mar 23/maoyan/Mar 23 Sun T3M 坐位 988/maoyan_584張/Block 11/20250227180153093182.pdf---image_page1_3.png, qrcode = TA25CCHK01CL2sSKksn3BMfZVWJtTwI0kvvtfFg1UMj2PpA0Tsj5NL7W+kCPXOxECzC8BzuY4pjgTBM9h/yt/N+tks9UHSa2RB5nhsV4wTcmQKvJ33bBH346xjUUNX2DcCMj1fQmOabg , seat_info = 未解析出座位
img_path = /Users/zhoudong/projects/maoyan/movie-data-automation/performance/pdf/ComplexCon 2025 Mar 23/maoyan/Mar 23 Sun T3M 坐位 988/maoyan_584張/Block 11/20250227180153093194.pdf---image_page1_3.png, qrcode = TA25CCHK01CL2sSKksn3BMfZVWJtTwI0kvvtfFg1UMnwPJ1jS5j5ObD3iaBWGkq1Grl0G+mbJ+JdfJcrQn0ZToymcrVawfXXqVm9R637IFqN3PXCOd6DsvEoMOXFaz1Xm3NR3ft8G98d , seat_info = 未解析出座位
img_path = /Users/zhoudong/projects/maoyan/movie-data-automation/performance/pdf/ComplexCon 2025 Mar 23/maoyan/Mar 23 Sun T3M 坐位 988/maoyan_584張/Block 11/20250227180153093180.pdf---image_page1_3.png, qrcode = TA25CCHK01CL2sSKksn3BMfZVWJtTwI0kvvtfFg1UMj0PpBmS8z+belzgAlg6QfWgJ03PN6urVxbZLHfqb0jFIBzphZTL8GizF76JbQSolw69HcESFcvkwTj5lmuJx0IsWKTvrfwMgAG , seat_info = 未解析出座位
img_path = /Users/zhoudong/projects/maoyan/movie-data-automation/performance/pdf/ComplexCon 2025 Mar 23/maoyan/Mar 23 Sun T3M 坐位 988/maoyan_584張/Block 11/20250227180153093221.pdf---image_page1_3.png, qrcode = TA25CCHK01CL2sSKksn3BMfZVWJtTwI0kvvtfFg1U8L1acZiSZX/b7mjY5AibiQ1BX1wf0yKd5xeQ9AIdMqX6p9Oaq9vxhIY4EHeN2XGHmmmegUsUqAHYyKoK1vVicGRalOx0s3wwHqS , seat_info = 未解析出座位
img_path = /Users/zhoudong/projects/maoyan/movie-data-automation/performance/pdf/ComplexCon 2025 Mar 23/maoyan/Mar 23 Sun T3M 坐位 988/maoyan_584張/Block 11/20250227180153093235.pdf---image_page1_3.png, qrcode = TA25CCHK01CL2sSKksn3BMfZVWJtTwI0kvvtfFg1U8PxaMFgG5v/abuy/3Hy/3cy6RCyHuljLtH9bQtRWUUr/XKMSnYDtczmaHzqZqrmWd8lZc5Yv3mekBxDdRciElihMsL49Pezxqwz , seat_info = 未解析出座位
img_path = /Users/zhoudong/projects/maoyan/movie-data-automation/performance/pdf/ComplexCon 2025 Mar 23/maoyan/Mar 23 Sun T3M 坐位 988/maoyan_584張/Block 11/20250227180153093209.pdf---image_page1_3.png, qrcode = TA25CCHK01CL2sSKksn3BMfZVWJtTwI0kvvtfFg1U8D9b5JhGZr1aLDj2jttZ+JerHll+LOMp9ddqSdj+wlzYTNUxGYhYu9vVyp7zUY3/CIHaaab8DXzOA/K4ciNsVk2S30T/8/NcW4e , seat_info = 未解析出座位
img_path = /Users/zhoudong/projects/maoyan/movie-data-automation/performance/pdf/ComplexCon 2025 Mar 23/maoyan/Mar 23 Sun T3M 坐位 988/maoyan_584張/Block 11/20250227180153093208.pdf---image_page1_3.png, qrcode = TA25CCHK01CL2sSKksn3BMfZVWJtTwI0kvvtfFg1U8D8PMJmSMv7ObhsaZgpVKs9JMF/USjFaQcJKoVVkNF2utgBdGfuVB8RjNgWr8VXux4g3oivk+/j/wY73lJcsYhYlwMVWdgOaJ1+ , seat_info = 未解析出座位
img_path = /Users/zhoudong/projects/maoyan/movie-data-automation/performance/pdf/ComplexCon 2025 Mar 23/maoyan/Mar 23 Sun T3M 坐位 988/maoyan_584張/Block 11/20250227180153093234.pdf---image_page1_3.png, qrcode = TA25CCHK01CL2sSKksn3BMfZVWJtTwI0kvvtfFg1U8PwOJ1mHZz/NL9yAFaotYjZdgdLMjxGYKZaS8yUV5ptG7Y1agYJmSfcKKP4UKwylEjldDPO6yEu8Ez3PwMrFH1er1/blNOhK8E/ , seat_info = 未解析出座位
img_path = /Users/zhoudong/projects/maoyan/movie-data-automation/performance/pdf/ComplexCon 2025 Mar 23/maoyan/Mar 23 Sun T3M 坐位 988/maoyan_584張/Block 11/20250227180153093220.pdf---image_page1_3.png, qrcode = TA25CCHK01CL2sSKksn3BMfZVWJtTwI0kvvtfFg1U8L0PZ1iTZSvOLDDTcfQLsG8iB+W/mZAQCrZIRnbNGo3hU2m+xvIcmD8zUw8R1eaDaUW2mFwGaH+P+iMvnyifWvi5NxkGXlzc9Pm , seat_info = 未解析出座位
img_path = /Users/zhoudong/projects/maoyan/movie-data-automation/performance/pdf/ComplexCon 2025 Mar 23/maoyan/Mar 23 Sun T3M 坐位 988/maoyan_584張/Block 11/20250227180153093181.pdf---image_page1_3.png, qrcode = TA25CCHK01CL2sSKksn3BMfZVWJtTwI0kvvtfFg1UMj1acY2HZz8Ouw3poKCwmOc/BywVUO6EvEQPK2yFRvcC+IVhoXsC3Jk7E0DtIO2x/+7ENJs+SJQBL/dYMs+Y+cwvtpg+kPwB0yO , seat_info = 未解析出座位
img_path = /Users/zhoudong/projects/maoyan/movie-data-automation/performance/pdf/ComplexCon 2025 Mar 23/maoyan/Mar 23 Sun T3M 坐位 988/maoyan_584張/Block 11/20250227180153093195.pdf---image_page1_3.png, qrcode = TA25CCHK01CL2sSKksn3BMfZVWJtTwI0kvvtfFg1UMnxOZNuSc71NLoCggsfm4RBXV/LuYrTVG/83hk17V3q6cBwMJ+NwNyUpkWBEeqMlsMJwdf6i/DjvXM9PgAv7uMChdUANAWbifgI , seat_info = 未解析出座位
img_path = /Users/zhoudong/projects/maoyan/movie-data-automation/performance/pdf/ComplexCon 2025 Mar 23/maoyan/Mar 23 Sun T3M 坐位 988/maoyan_584張/Block 11/20250227180153093191.pdf---image_page1_3.png, qrcode = TA25CCHK01CL2sSKksn3BMfZVWJtTwI0kvvtfFg1UMn1OZUzRpz7Pe09keR8MCaKEidoZYBBI+HjeudCrtpmIGI5rjK4c3DsSIw7oUSw62NkxOkTRmlg94yw5LfU/qJnWu6NVOsS7I0k , seat_info = 未解析出座位
img_path = /Users/zhoudong/projects/maoyan/movie-data-automation/performance/pdf/ComplexCon 2025 Mar 23/maoyan/Mar 23 Sun T3M 坐位 988/maoyan_584張/Block 11/20250227180153093185.pdf---image_page1_3.png, qrcode = TA25CCHK01CL2sSKksn3BMfZVWJtTwI0kvvtfFg1UMjxO8YzHpSqarEQklJmM+e+y0ITuqTbAvaoL8TdPar5YqhgWTRxb7F2/qYnUZfv8ue6DjUMIGMwzEEnRo7rd7kISctpeRL0G1KX , seat_info = 未解析出座位
img_path = /Users/zhoudong/projects/maoyan/movie-data-automation/performance/pdf/ComplexCon 2025 Mar 23/maoyan/Mar 23 Sun T3M 坐位 988/maoyan_584張/Block 11/20250227180153093218.pdf---image_page1_3.png, qrcode = TA25CCHK01CL2sSKksn3BMfZVWJtTwI0kvvtfFg1U8H8apFnTMiobrGvQW1g7nFWrGJ0tAsmCs5HZICMQ4nQE3rxxobAyr/vJwJEp8YW8bL5Gl+Mfu7angOlQi64wakxYZrgXADuGbI7 , seat_info = 未解析出座位
img_path = /Users/zhoudong/projects/maoyan/movie-data-automation/performance/pdf/ComplexCon 2025 Mar 23/maoyan/Mar 23 Sun T3M 坐位 988/maoyan_584張/Block 11/20250227180153093224.pdf---image_page1_3.png, qrcode = TA25CCHK01CL2sSKksn3BMfZVWJtTwI0kvvtfFg1U8LwOJ00Sp+qNe65/fF9UWYcHmCm6WXay0VvbEQsZ7OuryaA4DqySWxqdAe1U5L3HLFuybIaGPd03f+nM7mnSP/XjvBCW0j+FxrV , seat_info = 未解析出座位
